1 23:0.0125 626:0.0125 641:0.0125 608:0.0125 611:0.0125 590:0.0125 606:0.0125 519:0.0125 535:0.0125 479:0.0125
550 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
551 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
552 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
553 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
554 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
555 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
556 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
557 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
558 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
559 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
560 14416:0.0125 14472:0.0125 14477:0.0125 14469:0.0125 14470:0.0125 14465:0.0125 14468:0.0125 14448:0.0125 14450:0.0125 14442:0.0125
561 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
562 2217:0.0375 15045:0.0375 15078:0.0375 2733:0.0375 2799:0.0375 2592:0.0375 2607:0.0375 15472:0.0375 15603:0.0375 15336:0.0375
564 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
565 12086:0 12096:0 12093:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11299:0
567 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
570 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
571 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
572 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
573 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
574 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
575 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
577 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
579 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
580 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
582 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
583 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
585 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
587 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
590 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
591 12086:0 12099:0 12098:0 12097:0 12096:0 12093:0 12092:0 12090:0 12089:0 12016:0
592 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
595 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
597 12086:0 12089:0 12016:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
598 12086:0 12093:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0
599 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
600 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
601 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
603 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
604 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
605 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
606 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
607 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
609 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
610 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
611 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
612 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
615 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
618 12086:0.0375 12014:0.0375 12102:0.0375 12137:0.0375 12140:0.0375 13166:0.0375 11932:0.0375 12075:0.0375 12155:0.0375 12064:0.0375
619 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
620 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
621 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 5016:0 11976:0 6006:0
622 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
625 12086:0 12093:0 12092:0 12090:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0
626 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
627 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
628 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
629 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
630 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
632 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
633 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
634 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
635 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
636 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
637 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
638 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
639 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
640 12086:0 12096:0 12093:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0
641 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
642 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
643 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
644 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
645 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
647 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
648 12086:0 12093:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0
649 12086:0 12096:0 12093:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0
650 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
651 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
652 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
653 3998:0.0125 4091:0.0125 4092:0.0125 4085:0.0125 4086:0.0125 4082:0.0125 4083:0.0125 4067:0.0125 4071:0.0125 4056:0.0125
655 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
656 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
657 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
658 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
659 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
660 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
661 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
662 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
663 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
664 12086:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0
665 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
666 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
667 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
668 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
669 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
670 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
671 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
673 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10107:0 5016:0 11976:0
674 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
675 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
676 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
678 12086:0 11982:0 11925:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
679 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
681 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
682 5264:0.0125 5717:0.0125 5721:0.0125 5697:0.0125 5699:0.0125 5695:0.0125 5696:0.0125 5657:0.0125 5661:0.0125 5639:0.0125
685 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
688 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
690 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
691 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
692 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
693 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
695 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
697 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
698 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
699 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
700 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
701 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
702 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
703 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
704 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
706 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
710 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
712 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
713 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
714 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
715 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
716 697:0.0125 677:0.0125 687:0.0125 746:0.0125 710:0.0125 690:0.0125 696:0.0125 736:0.0125 682:0.0125 683:0.0125
719 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10107:0 5016:0 11976:0 6006:0
720 12086:0 12099:0 12098:0 12097:0 12096:0 12093:0 12092:0 12090:0 12089:0 11925:0
722 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
724 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
726 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
727 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
728 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
729 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
730 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
731 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
732 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
733 12086:0 12097:0 12096:0 12093:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0
734 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
735 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
737 12086:0 12098:0 12097:0 12096:0 12093:0 12092:0 12090:0 12016:0 11982:0 11895:0
738 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
739 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
740 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
741 12086:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0
742 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
743 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
744 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
745 3940:0.0125 4092:0.0125 4094:0.0125 4086:0.0125 4087:0.0125 4083:0.0125 4085:0.0125 4071:0.0125 4072:0.0125 4062:0.0125
747 14416:0.0125 14454:0.0125 14455:0.0125 14450:0.0125 14452:0.0125 14447:0.0125 14448:0.0125 14384:0.0125 14408:0.0125 14379:0.0125
748 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
749 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
750 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
752 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
754 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
755 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
756 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
757 2217:0.0125 2661:0.0125 2667:0.0125 2622:0.0125 2626:0.0125 2588:0.0125 2614:0.0125 2499:0.0125 2502:0.0125 2348:0.0125
758 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
759 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
761 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
762 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
763 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
764 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
766 12086:0 12016:0 11982:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
767 12086:0.0125 12064:0.0125 12074:0.0125 12057:0.0125 12062:0.0125 12055:0.0125 12056:0.0125 12046:0.0125 12047:0.0125 12019:0.0125
769 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
770 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
771 2217:0.0375 1028:0.0375 1029:0.0375 1010:0.0375 1016:0.0375 1005:0.0375 1006:0.0375 2592:0.0375 2733:0.0375 2519:0.0375
772 1:0.0125 410:0.0125 423:0.0125 11299:0.0125 10313:0.0125 336:0.0125 404:0.0125 11667:0.0125 14:0.0125 11626:0.0125
773 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
774 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
775 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
776 12086:0 12098:0 12097:0 12096:0 12093:0 12092:0 12090:0 12089:0 12016:0 11925:0
777 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
778 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
779 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
782 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
783 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
784 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
785 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
788 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
789 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
790 14416:0.0125 14453:0.0125 14454:0.0125 14448:0.0125 14450:0.0125 14442:0.0125 14447:0.0125 14380:0.0125 14384:0.0125 14371:0.0125
791 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1262:0.0125 1184:0.0125 1186:0.0125
792 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
794 1314:0.0125 1363:0.0125 1368:0.0125 1325:0.0125 1336:0.0125 1421:0.0125 1315:0.0125 1395:0.0125 1396:0.0125 1390:0.0125
796 12086:0 12093:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0
797 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
798 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
799 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
800 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
801 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
802 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
803 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
804 14416:0.025 14384:0.025 14408:0.025 14371:0.025 14379:0.025 14361:0.025 14365:0.025 14324:0.025 14344:0.025 14321:0.025
805 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
806 12086:0.0125 12063:0.0125 12064:0.0125 12056:0.0125 12057:0.0125 12054:0.0125 12055:0.0125 11976:0.0125 12046:0.0125 2214:0.0125
807 5215:0.2125 5198:0.2125 5212:0.2125 5190:0.2125 5188:0.2125 5228:0.2125 5194:0.2125 5205:0.2125 5195:0.2125 5200:0.2125
810 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
811 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
812 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
814 12086:0 12090:0 12089:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
817 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
818 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
819 3940:0.075 4097:0.075 4098:0.075 4094:0.075 4095:0.075 4091:0.075 4092:0.075 4078:0.075 4080:0.075 4073:0.075
820 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
821 4117:0.0125 4252:0.0125 4453:0.0125 4212:0.0125 4149:0.0125 4148:0.0125 4206:0.0125 4696:0.0125 4720:0.0125 4454:0.0125
823 12086:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0
824 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
825 12516:0.0125 12638:0.0125 12655:0.0125 12521:0.0125 12562:0.0125 12380:0.0125 12467:0.0125 13164:0.0125 13381:0.0125 12497:0.0125
826 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
827 1175:0.0125 1298:0.0125 1181:0.0125 1291:0.0125 1293:0.0125 1284:0.0125 1285:0.0125 3762:0.0125 1216:0.0125 3688:0.0125
829 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
830 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
831 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
832 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
834 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
835 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
838 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
839 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
840 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
841 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
842 10111:0.0125 10836:0.0125 10858:0.0125 10192:0.0125 10727:0.0125 11754:0.0125 10181:0.0125 10433:0.0125 11149:0.0125 11893:0.0125
843 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
844 12086:0.0125 12063:0.0125 12064:0.0125 12056:0.0125 12057:0.0125 12054:0.0125 12055:0.0125 12030:0.0125 12046:0.0125 12007:0.0125
846 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
847 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
848 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
849 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
850 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
851 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
852 12086:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0
853 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
854 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
855 12086:0.025 12030:0.025 12046:0.025 11997:0.025 12007:0.025 11987:0.025 11995:0.025 11958:0.025 11908:0.025 11919:0.025
856 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
857 14416:0.075 14471:0.075 14472:0.075 14468:0.075 14469:0.075 14461:0.075 14465:0.075 14447:0.075 14448:0.075 14435:0.075
858 14416:0.0125 14472:0.0125 14477:0.0125 14469:0.0125 14470:0.0125 14465:0.0125 14468:0.0125 14448:0.0125 14450:0.0125 14442:0.0125
859 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
860 4117:0.0125 4870:0.0125 4173:0.0125 4158:0.0125 4252:0.0125 4212:0.0125 4149:0.0125 4786:0.0125 4846:0.0125 4696:0.0125
861 14416:0.025 14479:0.025 14480:0.025 14470:0.025 14471:0.025 14468:0.025 14469:0.025 14450:0.025 14452:0.025 14447:0.025
862 1:0.0375 32:0.0375 25:0.0375 663:0.0375 67:0.0375 641:0.0375 659:0.0375 559:0.0375 585:0.0375 552:0.0375
863 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
864 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
866 12086:0.0125 12014:0.0125 12102:0.0125 12137:0.0125 12140:0.0125 13166:0.0125 11932:0.0125 12075:0.0125 12155:0.0125 12064:0.0125
